job_link,job_title,company_name,company_location,salary,job_type,rating,job_description,searched_job,searched_location
https://www.indeed.com/rc/clk?jk=c6a6b5f1d7b1556a&fccid=216eb700022de6f6&vjs=3,Systems Software Engineer,Hewlett Packard Enterprise,"Hybrid remote in Roseville, CA 95747",108000,Full-time,3.8,HPE Storage is seeking an outstanding software engineer to join a team of high-performing engineers tasked with bringing strategic focus and data-driven…,Python Developer,California
https://www.indeed.com/rc/clk?jk=47339dbdf82d0deb&fccid=d072500b76ca23c2&vjs=3,Software Developer,"Keysight Technologies, Inc.","Remote in Santa Rosa, CA 95403",185695,Full-time,3.9,"Keysight PathWave Software Solutions(PSS) is Keysight’s electronic design automation (EDA) business that creates tools, workflows, solutions and devices to…",Python Developer,California
https://www.indeed.com/rc/clk?jk=a713a19188e1aac3&fccid=c6c00bc365a2497f&vjs=3,Python Backend Engineer,LeetCode,"Palo Alto, CA 94303",Not available,Full-time,Not available,"Backend web development using , + Django + GraphQL + Celery.,Design APIs, database models and schemas.,Work closely with the frontend team.",Python Developer,California
https://www.indeed.com/rc/clk?jk=e004e922fdd74fe6&fccid=9f95445de55b4b50&vjs=3,Python-Developers,Celandyne Software Solutions,"Santa Clara, CA 95050",Not available,Not available,Not available,"Expert in ,, with Knowledge of at least one , Web Framework such as Django, Flask, etc.,Familiarity with some ORM (Object Relational Mapper) Libraries…",Python Developer,California
https://www.indeed.com/rc/clk?jk=94c96b8b1df01c59&fccid=caed318a9335aac0&vjs=3,"Backend Software Engineer, TikTok",TikTok,"San Jose, CA",158600,Not available,3.5,Work closely with product managers and designers to deliver state of the art user experience in the above products mentioned;,Python Developer,California
https://www.indeed.com/rc/clk?jk=c7882b8b28267c1e&fccid=caed318a9335aac0&vjs=3,"Full-Stack Software Engineer - Traffic Matrix, TikTok User Growth",TikTok,"San Jose, CA",170900,Not available,3.5,"TikTok's User Growth is a cross-functional department (engineering, data science, recommendation/algorithm, product, marketing, operations) that apply a data…",Python Developer,California
https://www.indeed.com/rc/clk?jk=f31d1a9e46258e3c&fccid=1225549b73e0e4e5&vjs=3,Python Dev 1+yr( Django) for product,Mechlin Software Technology,"San Diego, CA 92126",Not available,Not available,Not available,"1+ years of proven experience as a , developer.,Hands-on experience with Flask (or Django/Pyramid or similar).",Python Developer,California
https://www.indeed.com/rc/clk?jk=3dfa86723ce01dc2&fccid=66403b30a2c0d89c&vjs=3,Software Engineer (L5) - Python Platform,Netflix,"Los Gatos, CA",Not available,Not available,3.9,"Work backward from , , to understand their pain, and collaborate with partner teams to provide an opinionated, batteries-included software…",Python Developer,California
https://www.indeed.com/rc/clk?jk=c77b9616260512a5&fccid=caed318a9335aac0&vjs=3,Software Development Engineer in Test - GCRM QA,TikTok,"San Jose, CA",145000,Not available,3.5,"We aim to improve the usability, reliability, stability of the whole system and user experience through project testing, automation testing, CI/CD system…",Python Developer,California
https://www.indeed.com/rc/clk?jk=34d4d6c9e61b73a3&fccid=26727f1861532c63&vjs=3,Software Developer,Lawrence Livermore National Laboratory,"Livermore, CA 94550",121209,Full-time,4.2,"Engage other , frequently to share relevant knowledge, opinions, and recommendations.,Provide computer science and software development support using…",Python Developer,California
https://www.indeed.com/rc/clk?jk=6ede8c0adf6125eb&fccid=4ac0cc46b49757a0&vjs=3,Sr. Software Engineer (Python),SIS,"Hybrid remote in Cupertino, CA",135200,Not available,Not available,"Their data team in the Hardware org, is looking to hire a software , to help the team build data science & data visualization tools.",Python Developer,California
https://www.indeed.com/rc/clk?jk=2a77b10cfb77209b&fccid=44f9aa469b1c1a0c&vjs=3,"Senior/Staff Software Engineer - Backend, Developer Platforms",Zoox,"Foster City, CA",248000,Full-time,3.7,"We are looking for Software Engineers with experience and an active interest in developing micro-services.,Have a high engineering discipline: coding, code, and…",Python Developer,California
https://www.indeed.com/rc/clk?jk=320c45fe163247af&fccid=f5d3dc952a96809f&vjs=3,Software Developer I,"Bio-Rad Laboratories, Inc.","Pleasanton, CA 94588",118400,Not available,3.6,"Accelerate the time between results generation and actionable outcome.,Connect with laboratory scientists to produce automated analysis solutions.",Python Developer,California
